swept_param,swept_value,replicate,field_size_nm,pair_jitter_nm,integration_level,n_total,me3_fraction,n_me3,n_ac,coloc_frac_me3,coloc_frac_ac,gcross_at_ref,gcross_peak,gcross_auc,sncr_me3_norm_at_ref,sncr_ac_norm_at_ref,ripley_Lab_at_ref,ripley_Lba_at_ref,ripley_Lab_max,ripley_Lba_max,delaunay_heterotypic_fraction,delaunay_assortativity,fr_observed_fraction,fr_null_fraction,fr_z,fr_p,mst_heterotypic_overall,mst_heterotypic_minus_chance,mesh_n_crossings,mesh_me3_crossing_fraction,mesh_ac_crossing_fraction,mesh_z,mesh_p
field_size_nm,5000.0,0,5000.0,60.0,0.5,300,0.5,150,150,0.58,0.64,0.9659474971912093,3.4411879587436833,123.82989719970041,0.6822341782683454,0.7127160420502465,44.52777988954398,49.12399939132524,56.88049045870602,63.763618521393056,0.56045197740113,-0.12114586951635647,0.6053511705685619,0.5020066889632107,3.568144201413373,0.0,0.6053511705685619,0.10367892976588633,1129,0.9038901601830663,0.9147465437788018,,
field_size_nm,5000.0,1,5000.0,60.0,0.5,300,0.5,150,150,0.6133333333333333,0.6066666666666667,0.9064507310598667,3.690549405029457,203.02635653218042,0.7430488974113136,0.7628984899328859,61.25057731998385,59.2610662793756,71.68177727000597,67.82793979940232,0.5523917995444191,-0.10479649748662201,0.6421404682274248,0.5053846153846154,4.797620460760319,0.0,0.6421404682274248,0.14046822742474918,1184,0.9097222222222222,0.9080459770114943,,
field_size_nm,5000.0,2,5000.0,60.0,0.5,300,0.5,150,150,0.62,0.6533333333333333,1.374617592156721,3.264716781372212,267.6120604027792,0.7391936922138265,0.5699763126727201,61.86752654246288,60.16176611208522,66.85293534071238,74.49402123397033,0.5389830508474577,-0.07798812322126025,0.6020066889632107,0.49998327759197325,3.5621357904419573,0.0,0.6020066889632107,0.10033444816053516,1131,0.896551724137931,0.9061784897025171,,
field_size_nm,5000.0,3,5000.0,60.0,0.5,300,0.5,150,150,0.58,0.6,0.8591359950979506,5.441194635620352,211.38909025596755,0.9228187919463088,0.6215348701488183,35.68850087867605,51.759504053157855,58.63645605517078,73.46179468798948,0.5638418079096045,-0.12796588632094055,0.6521739130434783,0.5017892976588628,5.2283613771608,0.0,0.6521739130434783,0.1505016722408027,1163,0.9153318077803204,0.9290617848970252,,
field_size_nm,5000.0,4,5000.0,60.0,0.5,300,0.5,150,150,0.5866666666666667,0.5533333333333333,1.512079351372393,3.6564827951368777,213.48607426569566,0.7743933918430563,0.5164867230814124,41.34624815788777,61.19175646009546,69.01559643123724,76.51435324524738,0.5312145289443814,-0.06273713295941935,0.6120401337792643,0.5015384615384616,3.483531018755896,0.0,0.6120401337792643,0.11036789297658867,1077,0.8873563218390804,0.8587962962962963,,
field_size_nm,5000.0,5,5000.0,60.0,0.5,300,0.5,150,150,0.64,0.6333333333333333,1.0153425396612141,2.572201100475076,142.95561755184337,0.7483518441527589,0.7999760306807286,51.381571036661285,43.44985849491792,64.44605767370808,58.63334658577753,0.5322033898305085,-0.06449376309596631,0.5852842809364549,0.5003177257525083,2.9790550912666958,0.005,0.5852842809364549,0.08361204013377932,1116,0.8894009216589862,0.8778801843317973,,
field_size_nm,5000.0,6,5000.0,60.0,0.5,300,0.5,150,150,0.6,0.5666666666666667,0.6591404027964604,3.246876798960342,162.60133241946278,0.5592841163310962,0.5199498488089093,29.772984457183952,20.456962925268385,59.07487259946501,52.47087454451696,0.5656108597285068,-0.13127383481354443,0.6187290969899666,0.5021571906354515,4.20804950777604,0.0,0.6187290969899666,0.117056856187291,1118,0.8942528735632184,0.9193548387096774,,
field_size_nm,5000.0,7,5000.0,60.0,0.5,300,0.5,150,150,0.6666666666666666,0.6333333333333333,1.074463750831361,4.297855003325443,233.24702925564912,0.7979120059656973,0.6273708783192297,51.09446852507284,71.11441912846874,68.35596841657807,81.94579970953171,0.5266742338251986,-0.05433874279111479,0.6220735785953178,0.5020735785953178,4.340657382467226,0.0,0.6220735785953178,0.12040133779264217,1141,0.9166666666666666,0.8960739030023095,,
field_size_nm,5000.0,8,5000.0,60.0,0.5,300,0.5,150,150,0.64,0.6,1.0359436926398475,3.690549405029457,281.5825391041765,0.5557046979865773,0.7474069554606467,60.01299557057621,53.54956016152482,64.5121278952696,56.306365387331454,0.5486425339366516,-0.09735387576512643,0.6321070234113713,0.5051170568561872,4.174221143793547,0.0,0.6321070234113713,0.13043478260869568,1150,0.9359267734553776,0.9218390804597701,,
field_size_nm,5000.0,9,5000.0,60.0,0.5,300,0.5,150,150,0.6066666666666667,0.6733333333333333,0.7955834694331706,3.4883275198223633,199.91746747499565,0.5865188211263496,0.8236729713239781,39.092569077353005,48.590423940673304,52.152323116829365,60.078993144898476,0.5644796380090498,-0.12897227835029115,0.6287625418060201,0.5019063545150502,4.369250006808595,0.0,0.6287625418060201,0.1270903010033445,1135,0.9197247706422018,0.896551724137931,,
field_size_nm,7500.0,0,7500.0,60.0,0.5,300,0.5,150,150,0.5133333333333333,0.4866666666666667,0.4145109749544751,5.906781393101271,474.0418606680974,0.39848993288590606,0.4509228187919464,93.70863803812875,85.17855795370645,144.4516430769532,137.76445561653617,0.5226244343891403,-0.04559139784946232,0.6153846153846154,0.5039632107023412,4.0010279401449536,0.0,0.6140939597315436,0.11242171892886799,1158,0.8986175115207373,0.8738532110091743,,
field_size_nm,7500.0,1,7500.0,60.0,0.5,300,0.5,150,150,0.5,0.48,0.7253942061703313,5.90678139310127,441.04820870786557,0.536183250656551,0.610813664127894,86.47185622937474,77.58054682847785,114.27392393531545,105.16433989837876,0.5728813559322034,-0.14585634371476633,0.6020066889632107,0.49978260869565216,3.860051982083129,0.0,0.6020066889632107,0.10033444816053516,1167,0.8942528735632184,0.9193548387096774,,
field_size_nm,7500.0,2,7500.0,60.0,0.5,300,0.5,150,150,0.5,0.5,0.22092068445375873,5.596657339495221,244.03024321033078,0.5955194252764913,0.5104452216655639,55.17515632835784,58.58504044591143,104.06039063480114,106.61980404637592,0.5260180995475113,-0.05233919288917109,0.6153846153846154,0.5045317725752508,3.7814462602476264,0.0,0.6161616161616161,0.11448937535894055,1090,0.9166666666666666,0.8947368421052632,,
