x [nm],y [nm],pair_id
6409.937301712195,2665.9505362809236,0.0
383.4205772760939,197.79268056537336,1.0
8118.58350119807,9140.543056387958,2.0
6106.517899573165,7320.283779526667,3.0
5451.259661533288,9338.937744417133,4.0
8199.449187400915,37.91799817738097,5.0
8543.751600811987,326.80720183470294,6.0
7223.466701660089,1698.8628475767755,7.0
8518.814741292153,5373.816319594503,8.0
3077.251630671701,4193.482881576989,9.0
330.44916048079176,1242.6257737422713,10.0
6664.211217550811,6552.191886650176,11.0
6188.783465726928,3731.6675087020276,12.0
10034.583489783312,9743.865898048905,13.0
6844.74500801199,6544.679567979197,14.0
6866.47611607345,3956.3508831280706,15.0
1396.6408758549019,7120.270865311599,16.0
5225.197175371232,3119.3431795828383,17.0
4823.853667441988,8881.901753119135,18.0
9388.422254245836,3596.95884549171,19.0
5660.061165188318,3229.17029292064,20.0
5906.264123890376,3306.2007135176054,21.0
3848.3866542814885,8919.960852273978,22.0
2269.8891129741833,6232.19735537393,23.0
771.3808929515034,8315.405703534723,24.0
7808.753018421888,2338.110799915524,25.0
8754.934702699611,502.6769209727137,26.0
3401.3266414386308,1652.0076400247651,27.0
4530.923061438314,7900.668514533212,28.0
2290.1509590883857,426.88673402916186,29.0
4022.861415337749,2015.5692812267164,30.0
942.8935421623653,5741.419294637,31.0
3004.9100673984235,6789.333261063921,32.0
2100.459934788079,9379.083412103057,33.0
3599.2496817235283,1058.2177478495191,34.0
6115.39610504299,9239.683490609621,35.0
4387.5130489991125,9518.3444176551,36.0
4903.925743186719,4237.553182026976,37.0
6155.538002950437,9996.41403586073,38.0
9434.328260332288,4583.510685305287,39.0
7563.31157757581,5008.281240155661,40.0
5140.367325945739,7837.419510990315,41.0
4192.135402513129,7323.1344236537,42.0
7019.812561914222,9340.192756488821,43.0
1169.5275471836626,7273.921807245654,44.0
9204.651543808097,9634.82139051484,45.0
128.23765911750726,8583.86893111026,46.0
9696.739699762267,9525.944588173765,47.0
1483.9354862566724,9695.864534192056,48.0
8894.821186856901,8228.757754168479,49.0
4853.6737681001805,2455.9586438001315,50.0
8062.712517590663,9151.041885041766,51.0
2501.8860260847878,5383.67634610171,52.0
4431.811595860793,9240.460761461474,53.0
421.42904011647084,7274.04558129348,54.0
6167.8926534568645,264.12256075690084,55.0
7216.045483710882,55.32558358939379,56.0
7553.2020110583235,5118.671472232429,57.0
9205.549724464066,773.7652627343512,58.0
8380.7263913981,750.2983914115166,59.0
3403.2392625740495,4289.189050149473,60.0
9731.654922543303,5640.548032986238,61.0
2600.1691927267143,2432.7137478340223,62.0
8799.213734017347,2235.321075754956,63.0
1188.160319119933,2895.1523892146347,64.0
5828.590760303118,5538.261474442694,65.0
8092.470205332121,5602.577296967557,66.0
2882.1273169974133,4089.8207404259106,67.0
8117.969541975712,6225.203245636317,68.0
9655.068727413041,3716.4938193046996,69.0
5561.332426848393,6022.040091109944,70.0
8412.14622676021,1485.332527154227,71.0
4000.5989211691017,9079.529660690956,72.0
459.72327624828114,8323.923517843206,73.0
4106.910477163735,8292.352077565396,74.0
168.9198163102146,3561.073090420784,75.0
808.0271465387924,6507.649074342511,76.0
2685.5892877073684,7035.31855598228,77.0
9473.709821131717,1213.445036872905,78.0
8670.582340918547,605.0437153805906,79.0
3733.1962847487316,4390.945383802174,80.0
4953.889628523851,9713.027614487097,81.0
7721.714028054433,3134.8204412174646,82.0
2668.640912165029,8520.81892557982,83.0
8876.004654120943,5107.591940814399,84.0
3557.3788810811475,9970.621508999317,85.0
3170.895003039983,1999.5938181492725,86.0
8790.669172283611,8066.245035219928,87.0
6692.645934487667,9652.281611960783,88.0
9187.238563493001,7427.989126459213,89.0
8634.000721379363,2279.626679720057,90.0
1346.9048495313777,6748.347538095884,91.0
7110.980971578341,1572.9402998612584,92.0
4071.1067305545184,9017.925552724151,93.0
5582.605742684635,5760.995259305285,94.0
1946.2863925465979,5238.0521740645145,95.0
5229.4893692351725,892.8060772072745,96.0
9814.226345541078,5719.552434999339,97.0
-78.6467146258799,7752.95589411994,98.0
9698.389736522595,5768.701552535761,99.0
3279.697237216122,1797.9462405259026,100.0
6736.058485525946,1904.7202953441576,101.0
5736.170952226365,6051.411049911188,102.0
9561.337433692319,745.0131118236667,103.0
5022.569785160766,7510.841667662651,104.0
1752.0946115167649,3943.462253047045,105.0
732.1966669542372,7354.0095745229955,106.0
912.8434850023514,3977.867047895416,107.0
8906.193608850877,4856.933925027968,108.0
9080.222299362329,7714.587719565421,109.0
9189.357155041473,1278.3661381789625,110.0
744.8277911936494,732.5296424399195,111.0
8744.784452112968,6353.82598517353,112.0
4986.104560862116,1718.9625808133612,113.0
6756.397591878379,3212.875227360765,114.0
7168.212438454215,4701.549033636753,115.0
5148.321061197295,7919.290221768318,116.0
939.9236824723714,5714.1688185639405,117.0
1989.8732256048986,8019.137332538932,118.0
4827.017994801654,9925.98386932634,119.0
1823.3986157426418,9658.523971004435,120.0
7971.55257904341,4884.677206201255,121.0
8143.966972599729,6099.7527520331805,122.0
6591.617069324712,9146.82256938981,123.0
623.9925194462705,8351.772494242936,124.0
3867.8284287915853,3297.3156250562815,125.0
9868.532632949618,7873.445943928538,126.0
4842.516911307371,4275.199787508045,127.0
8733.439763033328,906.420039408336,128.0
7036.392056169088,7899.307646951013,129.0
7974.08200875797,3205.7328933867534,130.0
7932.396592845092,2244.069672981621,131.0
3518.6414234356416,4227.077103647884,132.0
5471.801031526949,1099.5702230347529,133.0
3986.692728838585,-35.795655119987515,134.0
7500.664123255862,8556.290368745476,135.0
1371.295577546849,7091.694179476413,136.0
8148.542038566436,9781.525048852478,137.0
8466.382058488276,4235.310054657861,138.0
9761.533543147252,9589.116384692867,139.0
5077.042772082511,7553.888694642891,140.0
9033.801337018544,4797.490260854042,141.0
8637.000585445334,7032.415747261187,142.0
2995.954152140136,7632.129491537777,143.0
5749.661711449339,979.4827834520694,144.0
3959.4952074022526,835.5674806764296,145.0
4801.193722735237,4251.702618808887,146.0
4345.277494912786,5796.564783171557,147.0
1199.1431860992536,9279.820916908162,148.0
6834.338832777819,8302.746740920338,149.0
9045.879480048034,5861.011514182993,150.0
365.6187452311321,7081.651005288548,151.0
5654.066774434128,8316.742662643413,152.0
5267.212375206823,8184.312530166655,153.0
