x [nm],y [nm],pair_id
6387.694403807757,2622.2095208347714,0.0
459.708906323597,237.47189253228083,1.0
8170.926786140295,9161.056170478925,2.0
5840.021248304435,7310.603394784,3.0
5434.723195652676,9341.901507466902,4.0
8120.70086181706,30.706900196294182,5.0
8598.769810183392,320.0284634222061,6.0
7268.755015916849,1830.3414346819466,7.0
8565.467197062717,5476.42151436035,8.0
3007.7276531976795,4178.613873259639,9.0
265.7977976904709,1187.6331488269077,10.0
6746.748018040869,6492.769221460729,11.0
6120.443344303348,3770.642444675581,12.0
9990.202323502173,9865.796524172818,13.0
6848.5896638440345,6529.693912731516,14.0
6861.905676676416,3893.2683921516036,15.0
1333.4880755404909,7232.525930519316,16.0
5162.956873975116,3141.0701869809377,17.0
4844.557639421692,8916.394827548966,18.0
9320.016551914525,3597.1736384531487,19.0
5650.944539049874,3290.0431755087293,20.0
5840.78762673873,3316.7579261845813,21.0
3930.32996945399,8990.514057158998,22.0
2288.263513442279,6216.996939543678,23.0
754.6480272292524,8314.96487666817,24.0
7869.790454224308,2495.1285486498855,25.0
8802.169821403384,493.9347755562367,26.0
3482.7773511711953,1479.094076418463,27.0
4450.62608361061,8051.732061998157,28.0
2303.4367443196566,498.1688546814102,29.0
4058.645557551396,2035.8237719150964,30.0
967.130628458198,5720.811715865342,31.0
3106.87021640553,6776.760474843331,32.0
1972.402375961344,9372.011513973694,33.0
3592.960936602793,1062.3555019568664,34.0
6252.200537745715,9225.653092761482,35.0
4452.446811454338,9567.778977536953,36.0
4975.283861371047,4296.341104261878,37.0
6284.177237732119,9885.295273595462,38.0
9453.239236329118,4657.008703504153,39.0
7620.424887031818,4987.8288862624695,40.0
5362.866873221212,7792.564303390929,41.0
4057.8102235304414,7292.84527645068,42.0
7118.781425629661,9272.831659628077,43.0
1120.0932434235706,7231.651163617076,44.0
9237.013537569906,9618.974666106886,45.0
169.11102199842964,8684.094366534751,46.0
9783.123644292351,9559.665848381394,47.0
1452.778167974264,9758.16321116772,48.0
8904.69891952956,8319.387689450996,49.0
4734.15091588007,2345.479346344501,50.0
8045.445271161879,9213.675187575242,51.0
2696.3147705658907,5303.032717282443,52.0
4554.6564715890745,9229.650492614363,53.0
460.29554751824566,7252.794595829255,54.0
6212.785451363871,260.56720953867045,55.0
7201.703102697136,163.1179205781238,56.0
7645.554069265769,5108.294385612206,57.0
9113.011185371026,615.2214398368814,58.0
8424.195535509169,640.4719953787983,59.0
3489.2890391204996,4363.906939236801,60.0
9651.754499246714,5532.93969862162,61.0
2671.6958383096767,2481.7403509498586,62.0
8863.231738535778,2385.191588856809,63.0
1224.614530747275,2815.080386850673,64.0
5851.878242102268,5605.5750446630245,65.0
8040.860552575226,5721.833024726465,66.0
2830.4205714377817,4186.228763391801,67.0
8213.877452161294,6255.821200622565,68.0
9655.608405697487,3604.056183584717,69.0
5607.569412428863,5935.420974393469,70.0
8450.36596775879,1499.6858247477223,71.0
