sigma_nm,repeat,n_me3,n_ac,coloc_frac_me3,coloc_frac_ac,gcross_at_ref,gcross_peak,gcross_auc,sncr_me3_norm_at_ref,sncr_ac_norm_at_ref,ripley_Lab_at_ref,ripley_Lba_at_ref,ripley_Lab_max,ripley_Lba_max,delaunay_heterotypic_fraction,delaunay_assortativity,fr_observed_fraction,fr_null_fraction,fr_z,fr_p,mst_heterotypic_overall,mst_heterotypic_minus_chance,mesh_n_crossings,mesh_me3_crossing_fraction,mesh_ac_crossing_fraction,mesh_z,mesh_p
0.0,0,150,150,0.4533333333333333,0.46,0.6807629980204714,6.467248481194477,599.879756356628,0.45424783106891475,0.42257022122793936,157.09119657714103,162.53543326873717,184.10168702734046,186.2317052738423,0.5644796380090498,-0.12903007011710935,0.6321070234113713,0.49799331103678934,4.191542796158662,0.0,0.6411149825783972,0.13944274177572158,1148,0.9243119266055045,0.9170506912442397,,
2.5,0,150,150,0.44666666666666666,0.4533333333333333,1.0211444970307069,6.467248481194478,645.7597678771084,0.4487749656343495,0.4174169258471108,159.56593789154607,165.0741368196447,184.10168702734046,186.2317052738423,0.5622171945701357,-0.12450489949539749,0.6187290969899666,0.5011036789297659,4.238592548863775,0.0,0.6206896551724138,0.11901741436973823,1148,0.926605504587156,0.9170506912442397,,
2.5,1,150,150,0.44666666666666666,0.4533333333333333,0.5105722485153534,5.38937373432873,584.3636267105268,0.46652479947618275,0.42257022122793936,157.09119657714103,162.53543326873717,186.72357198342888,188.94213645873936,0.5622171945701357,-0.1244703627063681,0.6254180602006689,0.5047157190635452,4.685225351334749,0.0,0.6341463414634146,0.13247410066073906,1144,0.9243119266055045,0.9170506912442397,,
2.5,2,150,150,0.4533333333333333,0.46,0.850953747525589,7.545123228060223,603.1964116208214,0.45424783106891475,0.42257022122793936,157.09119657714103,162.53543326873717,181.82482323055422,185.92302776299005,0.5622171945701357,-0.12455095184770434,0.6321070234113713,0.49625418060200666,5.142200784285953,0.0,0.6366782006920415,0.13500595988936592,1146,0.9243119266055045,0.9147465437788018,,
2.5,3,150,150,0.4533333333333333,0.46,0.3403814990102357,6.467248481194477,597.5893471805546,0.45985582898334576,0.4278523489932886,154.60131880684128,159.98100974054427,184.10168702734046,186.2317052738423,0.5638418079096045,-0.1277757702439219,0.6287625418060201,0.5033444816053512,4.17030863110883,0.0,0.6376306620209059,0.13595842121823032,1138,0.9243119266055045,0.9193548387096774,,
2.5,4,150,150,0.44,0.44666666666666666,0.6807629980204714,5.748665316617313,578.5072610872712,0.45424783106891475,0.42257022122793936,157.09119657714103,162.53543326873717,184.10168702734046,186.2317052738423,0.5644796380090498,-0.12903007011710935,0.6287625418060201,0.49642140468227425,4.190250059588151,0.0,0.6332179930795848,0.13154575227690923,1146,0.9243119266055045,0.9124423963133641,,
2.5,5,150,150,0.44,0.44666666666666666,1.0211444970307069,5.38937373432873,590.5889485897474,0.4487749656343495,0.44197086266164676,159.56593789154607,165.0741368196447,184.10168702734046,186.2317052738423,0.5610859728506787,-0.12217768973654172,0.6187290969899666,0.5088963210702341,4.160043513259253,0.0,0.6306620209059234,0.1289897801032478,1154,0.9220183486238532,0.9080459770114943,,
2.5,6,150,150,0.4533333333333333,0.46,0.850953747525589,6.467248481194478,624.2296967107841,0.4487749656343495,0.44197086266164676,159.56593789154607,165.0741368196447,181.4617816071169,185.92302776299005,0.5633484162895928,-0.12674873947429027,0.6287625418060201,0.5023411371237457,4.567668214784651,0.0,0.629757785467128,0.12808554466445243,1155,0.9243119266055045,0.9147465437788018,,
2.5,7,150,150,0.44666666666666666,0.4533333333333333,0.6807629980204714,6.467248481194477,595.1093994153462,0.45424783106891475,0.4722843649018146,157.09119657714103,162.53543326873717,184.64561671719224,188.8220544771201,0.5622171945701357,-0.12450489949539749,0.6187290969899666,0.5000334448160535,3.751305842274612,0.0,0.6228373702422145,0.12116512943953894,1155,0.9243119266055045,0.9172413793103448,,
2.5,8,150,150,0.44,0.44666666666666666,0.6807629980204714,6.107956898905895,588.0982558582471,0.45424783106891475,0.42257022122793936,157.09119657714103,162.53543326873717,184.10168702734046,186.2317052738423,0.5622171945701357,-0.12444733935890723,0.6254180602006689,0.5013377926421405,4.105870216388247,0.0,0.629757785467128,0.12808554466445243,1152,0.9243119266055045,0.9193548387096774,,
2.5,9,150,150,0.44666666666666666,0.4533333333333333,1.0211444970307069,8.62299797492597,558.4308116092171,0.4487749656343495,0.44197086266164676,159.56593789154607,165.0741368196447,186.72357198342888,188.94213645873936,0.5610859728506787,-0.12217768973654172,0.6287625418060201,0.504180602006689,4.5474708133465445,0.0,0.6354166666666666,0.13374442586399105,1149,0.9243119266055045,0.9170506912442397,,
2.5,10,150,150,0.44666666666666666,0.4533333333333333,0.3403814990102357,6.467248481194477,590.9863569823389,0.4656040268456376,0.43326820151219103,152.09602339473827,157.41057054711752,186.72357198342888,188.94213645873936,0.5622171945701357,-0.12444733935890723,0.6354515050167224,0.4993645484949833,4.359797050280057,0.0,0.6445993031358885,0.14292706233321295,1151,0.9220183486238532,0.9170506912442397,,
2.5,11,150,150,0.44666666666666666,0.4533333333333333,0.3403814990102357,6.467248481194478,656.2792915688643,0.45985582898334576,0.4278523489932886,154.60131880684128,159.98100974054427,184.64561671719224,188.8220544771201,0.5610859728506787,-0.12219492219492215,0.6254180602006689,0.50438127090301,4.549895825066173,0.0,0.6354166666666666,0.13374442586399105,1150,0.926605504587156,0.9147465437788018,,
2.5,12,150,150,0.4533333333333333,0.46,0.5105722485153534,6.467248481194477,605.2631238038995,0.45985582898334576,0.45302013422818793,154.60131880684128,159.98100974054427,186.72357198342888,188.94213645873936,0.5622171945701357,-0.12444733935890723,0.6387959866220736,0.5014046822742475,5.0591697247429135,0.0,0.6458333333333334,0.1441610925306578,1161,0.9243119266055045,0.9126436781609195,,
2.5,13,150,150,0.44666666666666666,0.4533333333333333,0.5105722485153534,6.467248481194477,599.484191052871,0.4487749656343495,0.4174169258471108,159.56593789154607,165.0741368196447,186.72357198342888,188.94213645873936,0.5610859728506787,-0.12226385732129333,0.6254180602006689,0.5088628762541806,3.7097566790240744,0.0,0.6275862068965518,0.12591396609387617,1149,0.9243119266055045,0.9170506912442397,,
2.5,14,150,150,0.44,0.44,0.6807629980204714,5.38937373432873,594.9751663810042,0.4487749656343495,0.44197086266164676,159.56593789154607,165.0741368196447,186.72357198342888,188.94213645873936,0.5622171945701357,-0.12443582803872263,0.6287625418060201,0.5024080267558528,4.494493168139653,0.0,0.6354166666666666,0.13374442586399105,1150,0.9243119266055045,0.9124423963133641,,
2.5,15,150,150,0.44,0.44666666666666666,0.5105722485153534,6.467248481194477,596.133227251954,0.45985582898334576,0.4278523489932886,154.60131880684128,159.98100974054427,184.10168702734046,186.2317052738423,0.5622171945701357,-0.12444733935890723,0.6254180602006689,0.5032107023411372,3.977563041762595,0.0,0.629757785467128,0.12808554466445243,1148,0.9243119266055045,0.9170506912442397,,
2.5,16,150,150,0.44666666666666666,0.4533333333333333,0.850953747525589,6.467248481194477,601.4280924626837,0.4487749656343495,0.4174169258471108,159.56593789154607,165.0741368196447,184.10168702734046,186.2317052738423,0.5633484162895928,-0.12678911481049207,0.6287625418060201,0.5027424749163879,4.688677116284855,0.0,0.6332179930795848,0.13154575227690923,1147,0.9243119266055045,0.9193548387096774,,
2.5,17,150,150,0.4533333333333333,0.46,0.6807629980204714,7.545123228060223,613.8010213158757,0.45424783106891475,0.44742729306487694,157.09119657714103,162.53543326873717,186.72357198342888,188.94213645873936,0.5627118644067797,-0.12559762177182082,0.6321070234113713,0.5056856187290969,4.506921730045708,0.0,0.6344827586206897,0.13281051781801412,1145,0.926605504587156,0.9170506912442397,,
2.5,18,150,150,0.4533333333333333,0.46,0.850953747525589,5.748665316617313,593.8003335947819,0.4487749656343495,0.4174169258471108,159.56593789154607,165.0741368196447,184.64561671719224,188.8220544771201,0.5610859728506787,-0.1222236441350361,0.6220735785953178,0.5033444816053512,4.0397752626429435,0.0,0.6262975778546713,0.12462533705199574,1155,0.926605504587156,0.9170506912442397,,
2.5,19,150,150,0.44666666666666666,0.4533333333333333,0.5105722485153534,5.38937373432873,583.399707735403,0.45424783106891475,0.42257022122793936,157.09119657714103,162.53543326873717,184.10168702734046,186.2317052738423,0.5610859728506787,-0.12219492219492215,0.6321070234113713,0.5020735785953178,4.533168036150407,0.0,0.6366782006920415,0.13500595988936592,1148,0.9243119266055045,0.9147465437788018,,
2.5,20,150,150,0.44,0.44666666666666666,1.0211444970307069,7.545123228060223,545.2378069123157,0.4487749656343495,0.4174169258471108,159.56593789154607,165.0741368196447,186.72357198342888,188.94213645873936,0.5644796380090498,-0.12903007011710935,0.6287625418060201,0.5008026755852844,4.515564732327642,0.0,0.6376306620209059,0.13595842121823032,1155,0.9243119266055045,0.9216589861751152,,
2.5,21,150,150,0.44666666666666666,0.4533333333333333,0.6807629980204714,7.545123228060223,606.2782633800572,0.45424783106891475,0.42257022122793936,157.09119657714103,162.53543326873717,181.82482323055422,185.92302776299005,0.5599547511312217,-0.11997972887368565,0.6321070234113713,0.5008695652173912,3.9723969329436115,0.0,0.6388888888888888,0.13721664808621326,1150,0.9243119266055045,0.9170506912442397,,
2.5,22,150,150,0.4533333333333333,0.46,0.850953747525589,5.38937373432873,596.7552427240697,0.4487749656343495,0.4174169258471108,159.56593789154607,165.0741368196447,186.72357198342888,188.94213645873936,0.5633484162895928,-0.12671990171990166,0.6187290969899666,0.5019063545150502,4.112356479164283,0.0,0.627177700348432,0.12550545954575643,1159,0.9220183486238532,0.9149425287356322,,
2.5,23,150,150,0.44666666666666666,0.4533333333333333,0.5105722485153534,7.545123228060223,608.2480272260149,0.45424783106891475,0.42257022122793936,157.09119657714103,162.53543326873717,184.10168702734046,186.2317052738423,0.5627118644067797,-0.12545965270684373,0.6354515050167224,0.5010702341137123,4.528786832368291,0.0,0.6401384083044983,0.13846616750182272,1148,0.9243119266055045,0.9170506912442397,,
2.5,24,150,150,0.44666666666666666,0.4533333333333333,0.6807629980204714,5.38937373432873,593.0700818000591,0.4487749656343495,0.4174169258471108,159.56593789154607,165.0741368196447,184.10168702734046,186.2317052738423,0.5622171945701357,-0.124608522592742,0.6254180602006689,0.49759197324414717,4.368728452315586,0.0,0.6332179930795848,0.13154575227690923,1150,0.9243119266055045,0.9193548387096774,,
2.5,25,150,150,0.44666666666666666,0.4533333333333333,0.6807629980204714,6.467248481194478,651.7604840462234,0.45424783106891475,0.44742729306487694,157.09119657714103,162.53543326873717,186.72357198342888,188.94213645873936,0.5633484162895928,-0.12671990171990166,0.6321070234113713,0.5000334448160535,4.969701784912691,0.0,0.6388888888888888,0.13721664808621326,1152,0.9243119266055045,0.9193548387096774,,
2.5,26,150,150,0.4533333333333333,0.46,0.850953747525589,6.467248481194477,590.5677780748305,0.45424783106891475,0.4722843649018146,157.09119657714103,162.53543326873717,181.82482323055422,185.92302776299005,0.5633484162895928,-0.12674873947429027,0.6321070234113713,0.5013043478260869,5.131914611356994,0.0,0.6344827586206897,0.13281051781801412,1167,0.926605504587156,0.9149425287356322,,
2.5,27,150,150,0.4533333333333333,0.4533333333333333,0.6807629980204714,6.467248481194477,600.6547921778613,0.4487749656343495,0.4174169258471108,159.56593789154607,165.0741368196447,186.72357198342888,188.94213645873936,0.5644796380090498,-0.12903007011710935,0.6287625418060201,0.5008361204013378,4.5675496113678244,0.0,0.6354166666666666,0.13374442586399105,1149,0.9243119266055045,0.9193548387096774,,
2.5,28,150,150,0.4533333333333333,0.46,0.5105722485153534,5.748665316617313,583.7954995007716,0.45985582898334576,0.45302013422818793,154.60131880684128,159.98100974054427,186.72357198342888,188.94213645873936,0.5622171945701357,-0.12450489949539749,0.6254180602006689,0.5015384615384616,4.385606264389732,0.0,0.6319444444444444,0.13027220364176884,1148,0.9243119266055045,0.9170506912442397,,
2.5,29,150,150,0.44666666666666666,0.4533333333333333,0.5105722485153534,6.467248481194478,635.895132606977,0.45985582898334576,0.45302013422818793,154.60131880684128,159.98100974054427,186.72357198342888,188.94213645873936,0.5610859728506787,-0.1222236441350361,0.6354515050167224,0.5032775919732441,4.952145147529368,0.0,0.6411149825783972,0.13944274177572158,1151,0.9243119266055045,0.9147465437788018,,
2.5,30,150,150,0.4533333333333333,0.46,0.6807629980204714,7.545123228060223,615.1148342468957,0.45985582898334576,0.4278523489932886,154.60131880684128,159.98100974054427,184.64561671719224,188.8220544771201,0.5633484162895928,-0.12684103020902115,0.6354515050167224,0.505752508361204,4.107838156516175,0.0,0.6423611111111112,0.14068887030843558,1149,0.9220183486238532,0.9193548387096774,,
2.5,31,150,150,0.4266666666666667,0.43333333333333335,0.5105722485153534,5.38937373432873,567.257467462486,0.45424783106891475,0.42257022122793936,157.09119657714103,162.53543326873717,186.72357198342888,188.94213645873936,0.5633484162895928,-0.12671990171990166,0.6254180602006689,0.5083277591973244,4.316378318557957,0.0,0.6275862068965518,0.12591396609387617,1158,0.9221967963386728,0.9147465437788018,,
2.5,32,150,150,0.4533333333333333,0.46,0.5105722485153534,6.467248481194477,586.9005303242975,0.45424783106891475,0.42257022122793936,157.09119657714103,162.53543326873717,184.10168702734046,186.2317052738423,0.5588235294117647,-0.1177900982394708,0.6254180602006689,0.4961538461538461,4.767437795549862,0.0,0.6341463414634146,0.13247410066073906,1145,0.9220183486238532,0.9170506912442397,,
