follower,cluster_fraction,replicate,field_size_nm,pair_jitter_nm,integration_level,n_total,me3_fraction,n_me3,n_ac,coloc_frac_me3,coloc_frac_ac,gcross_at_ref,gcross_peak,gcross_auc,sncr_me3_norm_at_ref,sncr_ac_norm_at_ref,ripley_Lab_at_ref,ripley_Lba_at_ref,ripley_Lab_max,ripley_Lba_max,delaunay_heterotypic_fraction,delaunay_assortativity,fr_observed_fraction,fr_null_fraction,fr_z,fr_p,mst_heterotypic_overall,mst_heterotypic_minus_chance,mesh_n_crossings,mesh_me3_crossing_fraction,mesh_ac_crossing_fraction,mesh_z,mesh_p
me3,0.0,0,10000.0,60.0,0.5,300,0.5,150,150,0.08,0.08666666666666667,1.5539155389597714,1.5539155389597714,-60.348754778499504,0.4859986114325388,1.5771812080536913,-18.671302314375367,4.874873736110146,10.85074436048933,54.850567135755796,0.489216799091941,0.021561359364149314,0.5016722408026756,0.5040802675585284,-0.08508377025465859,0.95,0.5016949152542373,2.2674451561677245e-05,1060,0.8813953488372093,0.8410138248847926,,
me3,0.0,1,10000.0,60.0,0.5,300,0.5,150,150,0.12666666666666668,0.13333333333333333,2.17112498200454,2.17112498200454,27.501255801778683,1.0883366588064576,0.6530019952838746,20.887152060416952,24.76640182022328,39.52300906668137,41.9735238836771,0.5119453924914675,-0.02399813606710152,0.5083612040133779,0.5038461538461538,0.14255942873184327,0.92,0.5102040816326531,0.008531840829977488,1128,0.8899082568807339,0.8677494199535963,,
me3,0.0,2,10000.0,60.0,0.5,300,0.5,150,150,0.10666666666666667,0.10666666666666667,0.7007854391387204,2.118283259214769,-73.61089522811423,0.7718120805369129,0.9707574304889741,-0.17265327171989497,-7.451963681919921,14.456492853763564,8.784962298642853,0.5085324232081911,-0.017322916194680533,0.5117056856187291,0.502809364548495,0.3269398108626109,0.78,0.5084175084175084,0.0067452676148328505,1086,0.8495370370370371,0.815668202764977,,
me3,0.0,3,10000.0,60.0,0.5,300,0.5,150,150,0.06,0.06,0.5154815970587704,1.7807546080212064,-58.99295539398831,1.0906040268456376,1.4681208053691275,-28.706638778784907,-36.756381377076934,15.68611415669858,-6.471828622431836,0.49211711711711714,0.015664653889909994,0.4816053511705686,0.5027424749163879,-0.7512560959828406,0.485,0.48322147651006714,-0.018450764292608446,1110,0.8597701149425288,0.8409090909090909,,
me3,0.0,4,10000.0,60.0,0.5,300,0.5,150,150,0.1,0.09333333333333334,0.7007854391387204,6.657461671817844,199.76378932427755,0.9060402684563759,0.8678546632723906,-0.17265327171989497,-10.179367398527887,45.67807343134682,42.82476040195894,0.5255391600454029,-0.05112707360283446,0.49498327759197325,0.5027424749163879,-0.26906016637392277,0.8,0.49324324324324326,-0.008428997559432327,1173,0.8726851851851852,0.8758620689655172,,
me3,0.0,5,10000.0,60.0,0.5,300,0.5,150,150,0.06,0.06,0.69398169701116,2.028561883571083,-14.958075246748297,1.5704697986577183,1.12751677852349,-23.049666060948397,-18.510209886992868,40.10013503958476,67.78498770980127,0.5118912797281994,-0.023846903699143246,0.5351170568561873,0.5025250836120401,1.1159851440956754,0.275,0.5337837837837838,0.03211154298110819,1120,0.8761467889908257,0.8541666666666666,,
me3,0.0,6,10000.0,60.0,0.5,300,0.5,150,150,0.07333333333333333,0.07333333333333333,0.7977691383052398,1.8372865003393402,-79.73761530605523,1.2497107151122426,1.1802823420504511,-15.593623378600483,-10.179367398527887,7.750773720165284,16.889396392121853,0.46319365798414497,0.07361268403171017,0.45484949832775917,0.5000836120401339,-1.5941660309080994,0.11,0.4536082474226804,-0.048063993379995174,1100,0.805045871559633,0.8600917431192661,,
me3,0.0,7,10000.0,60.0,0.5,300,0.5,150,150,0.12,0.1,0.3538619544165816,6.72337713391505,147.13647646239855,0.8202833706189411,0.6831255992329819,-11.822556552035678,-3.7674787701709533,39.82368940978989,55.71656941153469,0.5255391600454029,-0.051213757681419086,0.5418060200668896,0.500752508361204,1.4793060669827833,0.15,0.5420875420875421,0.04041530128486648,1138,0.8509174311926605,0.8811188811188811,,
me3,0.0,8,10000.0,60.0,0.5,300,0.5,150,150,0.07333333333333333,0.07333333333333333,0.5057555291897369,1.626980749986032,-118.03089405223113,1.464307504575961,1.5558267236119585,-40.13605041931035,-38.12773720029347,-5.256855612179251,-4.828681795218415,0.49035187287173665,0.019264664955626162,0.5418060200668896,0.49946488294314384,1.426637223614932,0.18,0.5420875420875421,0.04041530128486648,1104,0.8894009216589862,0.8456221198156681,,
me3,0.0,9,10000.0,60.0,0.5,300,0.5,150,150,0.1,0.1,0.5057555291897369,3.203118351535,16.639176168105692,1.4288807101104137,0.8443386014288807,-0.8807151965335436,-10.827435147848576,29.994798740191612,23.80623787387657,0.4960272417707151,0.007694934694219395,0.4882943143812709,0.5001003344481605,-0.40724354902278265,0.62,0.48484848484848486,-0.016823755954190722,1125,0.8600917431192661,0.868663594470046,,
me3,0.2,0,10000.0,60.0,0.5,300,0.5,150,150,0.25333333333333335,0.26,0.6382153106441918,12.126090902239643,649.1536881066141,0.6134647651006712,0.730677635851916,98.22537102054531,83.91372869540919,121.23252122982905,114.65025383012133,0.504524886877828,-0.009923409923409624,0.5451505016722408,0.49827759197324417,1.6858604772207013,0.065,0.5473684210526316,0.04569618024995603,1101,0.868663594470046,0.8692660550458715,,
me3,0.2,1,10000.0,60.0,0.5,300,0.5,150,150,0.2733333333333333,0.26,0.86747712126395,6.592826121606021,272.4567505507097,0.8456375838926175,0.7449664429530202,70.95624024170968,70.95624024170968,92.68311314625043,97.85071416862701,0.5272727272727272,-0.05481242669890607,0.5719063545150501,0.5027424749163879,2.3089405038351623,0.025,0.5733788395904437,0.07170659878776808,1177,0.8804597701149425,0.8830275229357798,,
me3,0.2,2,10000.0,60.0,0.5,300,0.5,150,150,0.26,0.24666666666666667,0.8935014349018686,13.581221810508401,730.2351896140102,0.6648094212992276,0.6582343830665979,85.36471656731078,68.17632179758903,130.32943298089032,120.61558516918035,0.5045351473922902,-0.009175373436541762,0.5418060200668896,0.49986622073578596,1.3724330064663006,0.18,0.5445205479452054,0.04284830714252985,1146,0.8775981524249422,0.8896551724137931,,
me3,0.2,3,10000.0,60.0,0.5,300,0.5,150,150,0.2866666666666667,0.26666666666666666,0.4744255406558594,9.014085272461328,449.8141485599929,0.792517492503213,0.6574441857279825,47.09075766985836,56.06663215933196,116.27985283617463,118.44384102687621,0.5300794551645857,-0.06018076519207076,0.5585284280936454,0.49969899665551837,2.2723460720784256,0.035,0.564625850340136,0.06295360953746043,1143,0.9101382488479263,0.9124423963133641,,
