fraction,draw,n_me3,n_ac,coloc_frac_me3,coloc_frac_ac,gcross_at_ref,gcross_peak,gcross_auc,sncr_me3_norm_at_ref,sncr_ac_norm_at_ref,ripley_Lab_at_ref,ripley_Lba_at_ref,ripley_Lab_max,ripley_Lba_max,delaunay_heterotypic_fraction,delaunay_assortativity,fr_observed_fraction,fr_null_fraction,fr_z,fr_p,mst_heterotypic_overall,mst_heterotypic_minus_chance,mesh_n_crossings,mesh_me3_crossing_fraction,mesh_ac_crossing_fraction,mesh_z,mesh_p
1.0,0,900,900,0.6744444444444444,0.6555555555555556,0.9686388402684898,2.4653518146397384,155.04968402923046,0.837745449687352,0.7940760239707877,36.959260692391354,36.58439539755477,45.188245480507874,44.20962621267506,0.5359598587623119,-0.07202371676055894,0.584769316286826,0.5018121178432462,7.0179153654135575,0.0,0.584769316286826,0.08449138410227908,6943,0.900709219858156,0.9056322267810518,,
0.75,0,675,675,0.5777777777777777,0.5525925925925926,0.915788318765634,2.412386338223337,150.4981480535716,0.8319834620132063,0.7688036390127756,34.155533464063524,34.349150007049616,43.26180210654957,43.438942754071604,0.5279087075167452,-0.055879862136878435,0.5782060785767235,0.4984136397331357,6.457338735533672,0.0,0.5782060785767235,0.07783543365455892,5189,0.9001996007984032,0.9073243647234679,,
0.75,1,675,675,0.562962962962963,0.5585185185185185,0.959092247710145,2.560221454631214,161.18098544091308,0.8207561649442341,0.8185642860046339,36.1633034347513,40.05775699037008,47.0853739379524,49.7632500177684,0.5270471464019851,-0.05410363901778969,0.5685693106004448,0.5000444773906597,5.6705911400542295,0.0,0.5685693106004448,0.06819866567828026,5240,0.8898854010961634,0.9002493765586035,,
0.75,2,675,675,0.5451851851851852,0.5348148148148149,0.902889891740766,2.3784090658539943,162.30267475332693,0.833215853880776,0.7886247789989557,36.154368757940176,36.39943277340376,43.24627574678556,43.42533150506699,0.5295285359801489,-0.05932423646919675,0.5782060785767235,0.4997776130467013,5.222773993565102,0.0,0.5782060785767235,0.07783543365455892,5235,0.9022931206380858,0.8983050847457628,,
0.75,3,675,675,0.5496296296296296,0.5407407407407407,0.9948179334522288,2.2723163725848727,146.27692427774556,0.8332063751475888,0.8141473206493279,38.07071303593136,34.56405484750246,46.789280875046444,43.81637646639277,0.5181141439205955,-0.036577794334167274,0.5678280207561156,0.5012601927353596,4.66860715413467,0.0,0.5678280207561156,0.06745737583395106,5152,0.8926610084872691,0.9052369077306733,,
0.75,4,675,675,0.5837037037037037,0.5614814814814815,0.9607542310772781,2.7381495585702424,184.43084211780035,0.8317213720744168,0.7556857444819316,39.0858113413085,38.30158893832976,50.32167316636435,48.82672701793871,0.5399305555555556,-0.0799026278821036,0.586360266864344,0.5028687916975537,6.610947953223002,0.0,0.586360266864344,0.0859896219421794,5146,0.8973080757726819,0.9057356608478803,,
0.75,5,675,675,0.5511111111111111,0.5170370370370371,0.9947849870063453,2.1339742463200633,144.2726042565028,0.7789317507418397,0.793323099485338,36.89795261591263,40.475456182397295,43.03365734708794,46.175987531177896,0.5305059523809523,-0.06107462797111437,0.5833951074870274,0.5004595997034841,6.426314117008452,0.0,0.5833951074870274,0.08302446256486284,5106,0.9031936127744511,0.9003487792725461,,
0.75,6,675,675,0.562962962962963,0.5525925925925926,0.9334499275645906,2.555121411892905,142.19142165572362,0.8595683654911184,0.8086225533057481,35.54935351229261,38.31841418371454,45.590191918424864,47.42184054923425,0.5143920595533499,-0.028812055127259536,0.56412157153447,0.5009340252038547,4.487619358556427,0.0,0.56412157153447,0.06375092661230541,5197,0.8969636635141862,0.8968095712861416,,
0.75,7,675,675,0.562962962962963,0.5288888888888889,0.9689526671824709,2.4144394329792718,146.79053914045818,0.9215040801186942,0.7715392915689651,35.459858584443396,37.06224376121622,45.603818690856855,46.318398655387114,0.5259240883155545,-0.051888636473298014,0.5567086730911787,0.5007412898443291,4.0301238336850975,0.0,0.5567086730911787,0.05633802816901412,5151,0.8927680798004988,0.8983050847457628,,
0.75,8,675,675,0.5644444444444444,0.5585185185185185,1.0091889485117524,2.3903282953909804,111.46541133316552,0.7800017119379137,0.7779921466999316,34.71618747256275,33.325694436817344,42.38089160559372,40.1407334814497,0.528287841191067,-0.0566231106803001,0.5833951074870274,0.5024091919940696,6.552766482983602,0.0,0.5833951074870274,0.08302446256486284,5195,0.8907730673316708,0.907185628742515,,
0.75,9,675,675,0.5585185185185185,0.5407407407407407,0.9300988007577723,2.4074731277585233,154.71404670679524,0.8701218009834063,0.862687852972145,32.50942621022921,33.81664779374313,44.280273580440166,44.97264574897281,0.5271644753162987,-0.054403964104689916,0.5656041512231282,0.49882134914751664,4.678310450933614,0.0,0.5656041512231282,0.0652335063009637,5312,0.899402390438247,0.9073705179282868,,
0.75,10,675,675,0.5511111111111111,0.5333333333333333,0.9829498733793934,2.5897452663969083,157.89523664984785,0.8947206453232289,0.7756818686042319,33.87875117558474,33.851502003890516,43.6565385282903,43.45314121800959,0.5203473945409429,-0.04069792894473348,0.5670867309117865,0.4992068198665678,5.396144262655441,0.0,0.5670867309117865,0.06671608598962198,5168,0.8983050847457628,0.9010989010989011,,
0.75,11,675,675,0.5659259259259259,0.5333333333333333,0.9987720041380154,2.6314313069022917,160.12880275085197,0.8666037226868086,0.7702853075627556,40.75944746518951,39.97795898699184,45.65383060318618,44.63412870937151,0.5342261904761905,-0.06850390988322025,0.5789473684210527,0.5009785025945145,5.307146209071274,0.0,0.5789473684210527,0.07857672349888811,5132,0.8919322709163346,0.8980509745127436,,
0.75,12,675,675,0.56,0.5511111111111111,1.0007856573721647,2.180378352194823,149.5203108866428,0.7964016973698868,0.8011869436201781,39.0858113413085,39.70973998074891,48.62750121326104,48.54175547531443,0.5259240883155545,-0.051888636473298014,0.5730170496664195,0.5016604892512972,4.909714312421482,0.0,0.5730170496664195,0.07264640474425499,5198,0.898355754857997,0.8993522670652716,,
0.75,13,675,675,0.5940740740740741,0.5644444444444444,0.860814833897733,2.2115903122466913,145.28000918462968,0.8465906901299401,0.8023721314065984,35.798834140736346,34.879229237412744,47.62699145767604,46.492264481381056,0.5207350384901912,-0.04154432285556634,0.5767234988880652,0.4990437361008154,5.593953381457781,0.0,0.5767234988880652,0.07635285396590064,5107,0.8962075848303394,0.8982543640897755,,
